      table_name      |      column_name      |          data_type          | is_nullable |                  column_default                  
 program_applications | organization_name     | text                        | YES         | 
 program_applications | number_of_attendees   | integer                     | YES         | 
 random_names         | id                    | integer                     | NO          | 
 random_names         | name                  | character varying           | YES         | 
 session              | sid                   | character varying           | NO          | 
 session              | sess                  | json                        | NO          | 
 session              | expire                | timestamp without time zone | NO          | 
 student_leads        | id                    | integer                     | NO          | nextval('student_leads_id_seq'::regclass)
 student_leads        | email                 | text                        | NO          | 
 student_leads        | phone                 | text                        | NO          | 
 student_leads        | course_interest       | text                        | NO          | 
 student_leads        | education_level       | text                        | YES         | 
 student_leads        | created_at            | timestamp without time zone | NO          | now()
 summit_registrations | id                    | integer                     | NO          | nextval('summit_registrations_id_seq'::regclass)
 summit_registrations | reference_number      | text                        | NO          | 
 summit_registrations | full_name             | text                        | NO          | 
 summit_registrations | email                 | text                        | NO          | 
 summit_registrations | phone                 | text                        | NO          | 
 summit_registrations | country               | text                        | NO          | 
 summit_registrations | organization          | text                        | YES         | 
 summit_registrations | notes                 | text                        | YES         | 
 summit_registrations | selected_summits      | jsonb                       | NO          | 
 summit_registrations | status                | text                        | NO          | 'registered'::text
 summit_registrations | created_at            | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 transactions         | id                    | integer                     | NO          | 
 transactions         | min                   | integer                     | YES         | 
 transactions         | percentage            | integer                     | YES         | 
 transactions         | max                   | integer                     | YES         | 
 transactions         | category              | text                        | YES         | 
 userrtgs             | id                    | integer                     | NO          | 
 userrtgs             | min                   | numeric                     | YES         | 
 userrtgs             | percentage            | integer                     | YES         | 
 userrtgs             | max                   | integer                     | YES         | 
 users                | id                    | integer                     | NO          | nextval('users_id_seq'::regclass)
 users                | email                 | text                        | NO          | 
 users                | password              | text                        | NO          | 
 users                | name                  | text                        | NO          | 
 users                | membership_type       | text                        | NO          | 'Free'::text
 users                | membership_status     | text                        | NO          | 'Pending'::text
 users                | membership_start_date | timestamp without time zone | YES         | 
 users                | membership_end_date   | timestamp without time zone | YES         | 
 users                | organization          | text                        | YES         | 
 users                | role                  | text                        | YES         | 
 users                | interests             | ARRAY                       | YES         | 
 users                | country               | text                        | YES         | 
 users                | is_active             | boolean                     | NO          | true
 users                | last_login_at         | timestamp without time zone | YES         | 
 users                | created_at            | timestamp without time zone | NO          | now()
 users                | updated_at            | timestamp without time zone | NO          | now()
 users                | membership_key        | text                        | NO          | 
 users                | company_name          | text                        | YES         | 
 users                | company_number        | text                        | YES         | 
 users                | contact_person        | text                        | YES         | 
 users                | level                 | text                        | YES         | 'user'::text
 users                | reset_token           | text                        | YES         | 
 users                | reset_token_expiry    | timestamp without time zone | YES         | 
 userwithdrawal       | id                    | integer                     | NO          | 
 userwithdrawal       | min                   | integer                     | YES         | 
 userwithdrawal       | percentage            | integer                     | YES         | 
 userwithdrawal       | max                   | integer                     | YES         | 
(144 rows)

